sample_id,time_step,target,returns,sentiment_mean,sentiment_vol,Close,Volume,Open,High,Low
0,0,0.75726634,0.32131922,0.3570209,0.014636773,0.7556952,2.1215386e-05,0.7696,0.71910113,0.90636706
0,1,0.75726634,0.31663275,0.36102664,0.007648547,0.7556952,0.0,0.7696,0.71910113,0.90636706
0,2,0.75726634,0.31663275,0.35619718,0.005753883,0.7556952,0.0,0.7696,0.71910113,0.90636706
0,3,0.75726634,0.31663275,0.35299563,0.0,0.7556952,0.0,0.7696,0.71910113,0.90636706
0,4,0.75726634,0.31371462,0.35100213,0.0035827446,0.75373137,0.00021639695,0.7664,0.7172285,0.90262175
0,5,0.75726634,0.31955764,0.35300028,0.0062127295,0.7556952,2.1215387e-06,0.7696,0.71910113,0.90636706
0,6,0.75726634,0.31663275,0.35300028,0.0062127295,0.7556952,0.0,0.7696,0.71910113,0.90636706
1,0,0.7556952,0.31663275,0.36102664,0.007648547,0.7556952,0.0,0.7696,0.71910113,0.90636706
1,1,0.7556952,0.31663275,0.35619718,0.005753883,0.7556952,0.0,0.7696,0.71910113,0.90636706
1,2,0.7556952,0.31663275,0.35299563,0.0,0.7556952,0.0,0.7696,0.71910113,0.90636706
1,3,0.7556952,0.31371462,0.35100213,0.0035827446,0.75373137,0.00021639695,0.7664,0.7172285,0.90262175
1,4,0.7556952,0.31955764,0.35300028,0.0062127295,0.7556952,2.1215387e-06,0.7696,0.71910113,0.90636706
1,5,0.7556952,0.31663275,0.35300028,0.0062127295,0.7556952,0.0,0.7696,0.71910113,0.90636706
1,6,0.7556952,0.3189673,0.35658863,0.0032891484,0.75726634,5.3038466e-06,0.7712,0.7205993,0.9082397
2,0,0.7541241,0.31663275,0.35619718,0.005753883,0.7556952,0.0,0.7696,0.71910113,0.90636706
2,1,0.7541241,0.31663275,0.35299563,0.0,0.7556952,0.0,0.7696,0.71910113,0.90636706
2,2,0.7541241,0.31371462,0.35100213,0.0035827446,0.75373137,0.00021639695,0.7664,0.7172285,0.90262175
2,3,0.7541241,0.31955764,0.35300028,0.0062127295,0.7556952,2.1215387e-06,0.7696,0.71910113,0.90636706
2,4,0.7541241,0.31663275,0.35300028,0.0062127295,0.7556952,0.0,0.7696,0.71910113,0.90636706
2,5,0.7541241,0.3189673,0.35658863,0.0032891484,0.75726634,5.3038466e-06,0.7712,0.7205993,0.9082397
2,6,0.7541241,0.3143025,0.35299858,0.0049599768,0.7556952,4.2430775e-06,0.76559997,0.71910113,0.90168536
3,0,0.75726634,0.31663275,0.35299563,0.0,0.7556952,0.0,0.7696,0.71910113,0.90636706
3,1,0.75726634,0.31371462,0.35100213,0.0035827446,0.75373137,0.00021639695,0.7664,0.7172285,0.90262175
3,2,0.75726634,0.31955764,0.35300028,0.0062127295,0.7556952,2.1215387e-06,0.7696,0.71910113,0.90636706
3,3,0.75726634,0.31663275,0.35300028,0.0062127295,0.7556952,0.0,0.7696,0.71910113,0.90636706
3,4,0.75726634,0.3189673,0.35658863,0.0032891484,0.75726634,5.3038466e-06,0.7712,0.7205993,0.9082397
3,5,0.75726634,0.3143025,0.35299858,0.0049599768,0.7556952,4.2430775e-06,0.76559997,0.71910113,0.90168536
3,6,0.75726634,0.31429815,0.3514037,0.0057299505,0.7541241,2.1215387e-06,0.76799995,0.71760297,0.90449435
4,0,0.75726634,0.31371462,0.35100213,0.0035827446,0.75373137,0.00021639695,0.7664,0.7172285,0.90262175
4,1,0.75726634,0.31955764,0.35300028,0.0062127295,0.7556952,2.1215387e-06,0.7696,0.71910113,0.90636706
4,2,0.75726634,0.31663275,0.35300028,0.0062127295,0.7556952,0.0,0.7696,0.71910113,0.90636706
4,3,0.75726634,0.3189673,0.35658863,0.0032891484,0.75726634,5.3038466e-06,0.7712,0.7205993,0.9082397
4,4,0.75726634,0.3143025,0.35299858,0.0049599768,0.7556952,4.2430775e-06,0.76559997,0.71910113,0.90168536
4,5,0.75726634,0.31429815,0.3514037,0.0057299505,0.7541241,2.1215387e-06,0.76799995,0.71760297,0.90449435
4,6,0.75726634,0.32131058,0.35300454,0.0086069405,0.75726634,1.0607694e-06,0.7712,0.7205993,0.9082397
