symbol,period,year,net_income,eps,roe,pe,pbr,revenue,operating_income,gross_profit,profit_margin,total_assets,total_liabilities,debt_to_equity,current_ratio,market_cap,dividend_yield,beta,forward_pe,operating_cashflow,capex,free_cashflow
NVDA,2025-07-31,2025,26422000000.0,3.68,,50.701088,45.363483,46743000000.0,28440000000.0,33853000000.0,0.5652611086151937,140740000000.0,,,4.2140000824504265,4542663491584,0.02,2.102,45.28641,,,0
NVDA,2025-04-30,2025,18775000000.0,3.68,,50.701088,45.363483,44062000000.0,21638000000.0,26668000000.0,0.4261041260042667,125254000000.0,,,3.3884032853590536,4542663491584,0.02,2.102,45.28641,,,0
NVDA,2025-01-31,2025,22091000000.0,3.68,,50.701088,45.363483,39331000000.0,24034000000.0,28723000000.0,0.5616689125626096,111601000000.0,,,4.439851498864077,4542663491584,0.02,2.102,45.28641,,,0
NVDA,2024-10-31,2024,19309000000.0,3.68,,50.701088,45.363483,35082000000.0,21869000000.0,26156000000.0,0.550396214582977,96013000000.0,,,4.104617998664968,4542663491584,0.02,2.102,45.28641,,,0
NVDA,2024-07-31,2024,16599000000.0,3.68,,50.701088,45.363483,30040000000.0,18642000000.0,22574000000.0,0.5525632490013316,85227000000.0,,,4.268952680936359,4542663491584,0.02,2.102,45.28641,,,0
NVDA,2024-01-31,2024,,3.68,,50.701088,45.363483,,,,,,,,,4542663491584,0.02,2.102,45.28641,,,0
MSFT,2025-06-30,2025,27233000000.0,13.83,,37.451195,11.210069,76441000000.0,34323000000.0,52427000000.0,0.3562616920239139,619003000000.0,,,1.3534464445042416,3850008526848,0.71,1.04,34.645485,,,0
MSFT,2025-03-31,2025,25824000000.0,13.83,,37.451195,11.210069,70066000000.0,32000000000.0,48147000000.0,0.3685667798932435,562624000000.0,,,1.3715916852004273,3850008526848,0.71,1.04,34.645485,,,0
MSFT,2024-12-31,2024,24108000000.0,13.83,,37.451195,11.210069,69632000000.0,31653000000.0,47833000000.0,0.34622012867647056,533898000000.0,,,1.3508201539281057,3850008526848,0.71,1.04,34.645485,,,0
MSFT,2024-09-30,2024,24667000000.0,13.83,,37.451195,11.210069,65585000000.0,30552000000.0,45486000000.0,0.37610734161774795,523013000000.0,,,1.3014409722222222,3850008526848,0.71,1.04,34.645485,,,0
MSFT,2024-06-30,2024,22036000000.0,13.83,,37.451195,11.210069,64727000000.0,27925000000.0,45043000000.0,0.34044525468506187,512163000000.0,,,1.2749549031815206,3850008526848,0.71,1.04,34.645485,,,0
