기준일,예측대상일,ticker,기준일종가,예측종가,실제종가,오차,오차율(%),방향일치
2024-12-31,2025-01-02,NVDA,134.26075744628906,134.65771565376923,138.27987670898438,-3.6221610552151446,-2.6194419183914444,1
2025-01-02,2025-01-03,NVDA,138.27987670898438,138.69049962860018,144.43853759765625,-5.748037969056071,-3.9795736405665063,1
2025-01-03,2025-01-06,NVDA,144.43853759765625,144.88078355917364,149.39744567871094,-4.516662119537301,-3.023252572370401,1
2025-01-06,2025-01-07,NVDA,149.39744567871094,149.851319214201,140.10946655273438,9.741852661466623,6.953029585477714,0
2025-01-07,2025-01-08,NVDA,140.10946655273438,140.54583722563157,140.07948303222656,0.46635419340501016,0.33292112685604436,0
2025-01-08,2025-01-10,NVDA,140.07948303222656,140.51385938211496,135.8804168701172,4.633442511997771,3.4099413430757273,0
2025-01-10,2025-01-13,NVDA,135.8804168701172,136.3264370399807,133.20098876953125,3.1254482704494535,2.3464152175756046,0
2025-01-13,2025-01-14,NVDA,133.20098876953125,133.62295614957088,131.73129272460938,1.8916634249615072,1.4360015648795923,0
2025-01-14,2025-01-15,NVDA,131.73129272460938,132.14015605728906,136.21034240722656,-4.070186349937501,-2.9881624831166707,1
2025-01-15,2025-01-16,NVDA,136.21034240722656,136.6196315945009,133.54090881347656,3.0787227810243394,2.3054529195428417,0
2025-01-16,2025-01-17,NVDA,133.54090881347656,133.96544445915868,137.6800079345703,-3.7145634754116372,-2.6979686674458283,1
2025-01-17,2025-01-21,NVDA,137.6800079345703,138.12317777952185,140.79933166503906,-2.676153885517209,-1.900686497492592,1
2025-01-21,2025-01-22,NVDA,140.79933166503906,141.25010474384072,147.03799438476562,-5.787889640924902,-3.936322489396371,1
2025-01-22,2025-01-23,NVDA,147.03799438476562,147.49940671509933,147.1879425048828,0.3114642102165135,0.21160986757198605,1
2025-01-23,2025-01-24,NVDA,147.1879425048828,147.657097342221,142.58892822265625,5.068169119564743,3.554391762907894,0
2025-01-24,2025-01-27,NVDA,142.58892822265625,143.0617438418846,118.39420318603516,24.66754065584945,20.835091577151676,0
2025-01-27,2025-01-28,NVDA,118.39421081542969,118.7900333763397,128.9619140625,-10.171880686160307,-7.887507532829122,1
2025-01-28,2025-01-29,NVDA,128.9619140625,129.36266910074022,123.67305755615234,5.689611544587876,4.600526304611312,0
2025-01-29,2025-01-30,NVDA,123.67305755615234,124.06346204398015,124.62285614013672,-0.5593940961565664,-0.4488695841856933,1
2025-01-30,2025-01-31,NVDA,124.62285614013672,125.02336532020863,120.04385375976562,4.979511560443001,4.148077060578301,0
